,Number-1,Number-2,Number-3,Number-4,Number-5,Number-6,Number-7,Sum
12583,8,9,14,18,21,24,35,129
12592,1,9,18,20,24,31,35,138
12670,5,9,14,24,25,31,33,141
12766,6,7,15,19,24,27,33,131
12881,8,9,10,12,27,29,35,130
13210,1,10,11,16,27,30,34,129
13290,9,10,14,18,24,25,35,135
13374,1,9,14,18,24,25,34,125
13544,9,10,16,17,21,31,32,136
13666,4,5,9,18,24,26,31,117
13811,5,7,9,18,24,26,28,117
13813,3,4,9,16,19,24,28,103
13819,1,3,9,20,22,24,27,106
13830,3,5,9,14,23,24,25,103
13950,9,14,18,19,24,31,33,148
14197,8,12,16,18,19,25,29,127
14273,7,9,14,20,24,30,33,137
14383,1,14,16,20,23,27,33,134
14384,9,12,17,18,24,27,31,138
14498,1,7,17,20,24,25,35,129
14509,1,9,16,24,29,31,35,145
14681,1,4,15,17,21,28,35,121
14726,3,7,10,24,26,27,30,127
14807,1,5,7,13,22,26,32,106
15513,3,14,16,19,22,23,31,128
16223,7,14,16,18,22,31,35,143
16299,4,12,15,19,22,25,29,126
16382,7,12,17,18,22,27,30,133
16524,2,7,11,14,22,27,33,116
16592,7,14,18,20,22,25,27,133
16665,4,10,18,19,25,29,33,138
16751,1,7,11,12,19,27,34,111
16765,2,4,8,19,24,25,31,113
16816,1,9,11,16,24,26,30,117
16882,4,8,15,18,19,23,29,116
16916,5,7,18,20,25,26,30,131
17181,8,14,15,16,19,26,29,127
17260,2,5,9,11,21,26,35,109
18028,1,3,7,11,22,29,30,103
18060,2,5,9,20,21,27,32,116
18115,7,8,14,18,24,29,33,133
18152,2,3,14,16,25,29,35,124
18180,7,10,17,18,21,24,31,128
18466,5,7,8,11,17,27,34,109
18563,1,3,7,20,22,27,31,111
18582,1,7,9,19,22,28,32,118
18584,2,4,11,17,23,25,27,109
18627,3,4,8,20,23,29,35,122
18875,6,7,10,13,26,27,29,118
18937,1,12,15,16,22,28,29,123
18973,3,9,11,13,22,26,31,115
19222,6,7,9,11,17,28,30,108
19588,7,8,10,20,21,23,27,116
19835,9,14,17,18,24,25,27,134
20052,3,7,14,20,23,27,28,122
20302,2,7,8,14,29,31,35,126
20367,6,7,8,11,22,29,35,118
20526,2,7,11,14,21,27,29,111
20656,3,7,8,18,22,23,28,109
20686,2,3,15,16,19,29,35,119
20833,5,9,16,20,25,26,27,128
20856,5,6,10,16,17,25,27,106
20908,2,7,16,19,23,27,29,123
20962,2,7,10,14,17,25,31,106
20972,8,9,10,13,21,24,30,115
21196,2,7,8,11,17,32,33,110
21304,5,7,11,18,19,25,28,113
21317,1,7,14,18,22,29,31,122
21321,4,8,11,16,27,30,33,129
21565,7,9,10,19,23,26,29,123
21681,7,8,11,18,23,24,27,118
22131,4,14,17,18,23,28,31,135
22264,1,5,15,16,22,25,31,115
22656,2,8,14,16,21,25,29,115
22942,2,7,8,11,22,23,35,108
22986,9,10,16,17,24,31,35,142
23121,2,12,16,19,25,29,32,135
23135,3,7,11,17,27,28,32,125
23233,7,10,11,20,21,27,32,128
23539,1,4,8,18,23,27,33,114
23920,7,10,11,16,21,25,27,117
23921,2,8,9,13,17,24,27,100
24135,7,8,10,14,27,29,34,129
24289,4,9,10,14,23,25,29,114
24308,4,6,15,17,21,24,35,122
24555,3,12,16,18,26,29,33,137
24644,5,6,9,19,22,25,31,117
24731,6,7,11,13,22,26,31,116
25198,1,4,7,18,25,26,29,110
25235,7,14,17,18,19,24,31,130
25270,3,7,8,18,22,24,33,115
25339,2,7,11,17,23,26,31,117
25802,2,3,11,16,17,27,31,107
25878,5,7,8,13,17,26,27,103
25900,6,9,17,20,26,29,30,137
25906,7,9,11,16,17,27,30,117
25959,7,10,11,13,26,27,35,129
26039,3,8,9,18,29,30,33,130
26327,1,5,11,16,22,30,34,119
26406,3,7,8,20,25,31,32,126
26448,1,9,16,20,29,32,35,142
26536,6,10,16,17,23,27,30,129
26598,2,7,8,24,27,31,35,134
26926,1,9,10,14,19,24,25,102
27043,1,4,11,18,24,27,28,113
27069,5,7,11,18,26,27,29,123
27073,2,9,11,13,21,27,32,115
27357,3,5,16,20,22,26,29,121
27409,2,7,14,18,21,24,27,113
27475,8,9,14,18,27,28,29,133
27560,2,9,17,18,22,24,29,121
27698,4,9,10,13,26,27,32,121
27740,5,9,14,20,21,31,35,135
27766,9,14,16,18,19,24,33,133
27788,2,14,16,20,21,23,29,125
27946,2,6,14,20,21,29,33,125
28208,2,7,8,16,24,25,29,111
28376,2,7,8,11,24,27,32,111
28386,2,7,8,13,17,29,35,111
28412,7,8,11,20,26,29,35,136
28459,10,14,16,17,24,27,35,143
28528,5,8,11,18,23,27,30,122
29085,4,8,10,12,25,27,33,119
29236,6,8,11,18,22,27,33,125
29382,9,10,14,16,25,29,35,138
29550,1,3,7,18,22,24,33,108
29680,2,9,14,18,21,24,29,117
29753,1,9,10,13,19,24,33,109
29827,5,7,10,17,22,23,27,111
29886,3,4,10,16,19,23,27,102
29929,2,9,11,13,19,25,28,107
29954,3,14,15,16,23,27,29,127
30030,3,7,9,17,22,24,27,109
30083,1,5,11,20,22,24,27,110
30187,1,7,16,20,22,24,25,115
30318,3,9,18,19,23,29,34,135
30446,5,9,11,16,17,23,34,115
30581,8,14,18,20,21,25,33,139
30691,6,9,14,20,21,24,31,125
30884,7,12,15,17,24,28,30,133
31135,5,10,11,14,25,27,32,124
31171,6,10,16,17,25,27,31,132
31345,1,7,9,20,22,30,34,123
31412,4,8,17,20,26,31,33,139
31490,2,6,7,19,22,25,27,108
31532,2,7,10,17,19,23,29,107
31835,9,10,14,20,27,31,35,146
31934,8,12,17,20,27,29,33,146
32126,3,6,9,14,25,29,33,119
32517,9,10,16,19,27,29,33,143
33184,4,9,11,17,21,24,35,121
33327,1,9,16,20,22,31,34,133
33338,4,9,15,18,19,24,32,121
33419,7,8,11,14,26,27,29,122
33496,2,9,16,17,21,27,35,127
33883,3,4,8,13,21,27,31,107
34010,9,10,11,13,23,26,29,121
34173,2,14,16,20,23,25,27,127
34352,4,7,9,19,24,28,34,125
34669,4,7,9,13,17,24,27,101
34680,6,9,10,14,29,30,35,133
34848,6,7,16,18,21,24,25,117
34940,1,5,7,20,27,32,33,125
35169,3,9,14,24,25,29,32,136
35244,3,8,16,20,22,31,33,133
35270,1,5,11,18,19,24,27,105
35312,2,8,15,16,19,27,29,116
35346,2,9,18,19,25,29,31,133
35462,9,12,15,19,25,28,29,137
35517,1,5,11,14,22,25,29,107
35542,9,10,17,20,21,27,32,136
35668,5,9,15,16,17,24,33,119
35863,7,12,17,20,23,24,31,134
35876,2,4,11,19,21,25,33,115
36060,1,7,9,11,23,24,34,109
36091,4,6,15,19,25,30,31,130
36285,7,10,16,20,23,26,27,129
36542,1,4,8,18,21,27,30,109
36957,1,3,7,16,22,23,29,101
37256,3,4,8,18,25,30,31,119
37316,5,8,16,18,22,31,33,133
37357,1,5,17,20,26,31,33,133
37532,1,7,9,16,24,30,34,121
37837,4,12,17,18,21,30,33,135
37870,3,8,9,13,22,27,32,114
37995,2,7,11,19,22,25,28,114
38154,2,7,11,14,27,28,33,122
38249,1,7,8,17,26,27,31,117
38321,4,8,10,18,21,27,31,119
38744,1,5,15,18,24,29,33,125
38790,1,14,16,17,23,26,27,124
39241,1,7,9,24,29,30,34,134
39258,7,12,14,17,23,24,27,124
39368,1,5,7,20,24,29,30,116
39409,1,7,16,18,22,26,31,121
39442,4,8,15,16,23,29,32,127
39487,7,8,10,20,25,31,35,136
39524,6,10,15,16,17,25,27,116
39585,7,8,10,20,23,26,27,121
39655,4,8,17,20,21,27,32,129
39902,5,7,15,19,26,29,32,133
40146,3,8,15,20,22,26,29,123
40154,4,9,16,20,21,25,31,126
40192,9,10,14,20,23,27,32,135
40281,1,7,9,20,23,24,34,118
40456,8,9,11,16,17,29,33,123
40479,9,12,16,20,21,24,27,129
40498,1,3,7,14,22,31,33,111
41096,9,10,14,16,17,27,30,123
41155,4,12,16,19,22,23,27,123
41251,5,7,18,19,24,28,29,130
41374,7,8,11,18,19,24,25,112
41473,6,9,10,16,17,27,34,119
41477,7,8,11,17,22,25,35,125
41594,9,10,14,20,21,26,27,127
41668,1,5,7,13,22,29,34,111
41808,2,6,15,16,17,23,31,110
41916,2,6,7,19,24,25,32,115
41959,1,14,16,19,22,23,27,122
41978,2,4,16,19,25,28,29,123
42122,1,9,10,13,22,25,31,111
42157,1,4,8,11,22,28,35,109
42498,6,12,17,18,26,31,35,145
42564,3,8,14,16,17,27,31,116
42643,7,9,11,19,21,26,32,125
42646,7,9,14,20,21,27,31,129
42647,5,6,7,16,17,23,27,101
43013,2,4,10,12,19,25,29,101
43128,5,12,16,19,22,26,27,127
43266,4,10,14,18,21,23,29,119
43712,3,14,18,19,22,25,33,134
43767,4,5,9,14,25,31,35,123
43943,1,7,8,11,27,28,30,112
44120,1,5,7,12,22,31,32,110
44453,2,7,11,20,26,27,32,125
44873,8,9,10,13,26,29,32,127
44887,3,7,9,13,22,26,27,107
44981,4,10,16,17,23,27,35,132
45166,9,10,11,17,21,25,28,121
45173,5,8,14,20,23,26,27,123
45286,6,7,11,16,26,27,33,126
45429,1,5,9,16,22,23,27,103
45621,2,7,10,16,17,29,33,114
45778,2,5,11,16,19,23,29,105
45842,1,4,8,18,25,31,33,120
45851,2,6,17,18,24,29,33,129
46068,1,10,15,16,19,24,27,112
46210,8,9,11,13,19,26,29,115
46453,1,3,11,20,25,26,29,115
46584,1,10,15,16,23,24,27,116
46755,4,8,11,17,24,27,35,126
46783,3,12,16,19,22,27,34,133
46862,9,12,17,18,22,25,32,135
46936,1,9,11,18,22,28,29,118
46982,1,8,16,20,21,29,35,130
47219,2,5,16,20,21,26,27,117
47386,1,7,11,12,27,28,35,121
47656,1,7,15,18,22,25,29,117
47691,3,6,10,20,26,27,33,125
47757,2,10,11,13,17,23,27,103
47907,6,12,16,17,27,29,35,142
47938,6,9,16,19,22,26,31,129
47964,5,12,16,17,23,27,34,134
48030,5,7,14,18,24,25,27,120
48114,2,4,7,11,17,29,31,101
48199,4,8,15,19,25,27,33,131
48206,3,7,9,17,29,30,32,127
48358,4,8,18,19,21,23,27,120
48552,4,5,16,19,22,23,31,120
48663,6,7,17,18,21,26,27,122
48675,7,8,9,19,23,24,25,115
48765,4,6,8,18,27,29,33,125
48785,7,14,18,24,25,28,29,145
48861,2,6,9,20,26,29,33,125
48871,7,8,9,13,17,24,28,106
48892,1,7,8,18,29,32,33,128
49107,9,14,15,20,23,29,33,143
49472,2,4,11,19,21,25,29,111
49528,3,7,11,20,24,26,27,118
49620,9,14,15,20,23,24,31,136
49903,1,7,17,20,23,27,28,123
49935,7,12,14,17,21,23,27,121
50115,2,7,8,11,17,30,32,107
50161,2,9,15,19,25,28,29,127
50191,4,8,9,16,17,23,31,108
50225,2,10,15,20,26,27,31,131
50337,4,6,14,18,27,29,35,133
50347,5,7,16,18,22,26,33,127
50471,3,8,18,20,23,27,33,132
50495,4,5,9,11,25,26,33,113
50576,1,9,15,20,24,30,35,134
50591,5,9,11,16,19,28,33,121
50982,4,8,9,14,24,29,35,123
51263,2,10,16,17,25,29,35,134
51361,4,10,17,20,21,28,31,131
51539,5,7,16,20,26,27,33,134
51647,5,9,11,13,26,31,34,129
51652,8,9,18,20,24,29,33,141
51682,1,5,16,17,22,28,31,120
51997,1,5,10,16,27,29,35,123
52053,2,7,17,18,22,24,31,121
52100,1,3,7,14,17,27,34,103
52107,3,7,8,20,26,27,28,119
52140,5,9,16,18,21,24,32,125
52339,7,10,16,20,21,23,29,126
52458,4,9,15,18,19,30,33,128
53203,2,6,11,16,17,30,33,115
53360,9,10,14,20,27,29,31,140
53380,3,7,16,24,26,27,33,136
53794,7,12,14,18,25,29,35,140
53860,1,5,9,18,24,31,34,122
53927,2,7,11,17,26,28,34,125
54230,2,8,9,18,23,24,27,111
54459,8,12,18,19,22,31,33,143
54637,4,8,9,14,17,25,27,104
54693,7,8,11,16,22,28,35,127
54750,6,9,11,13,19,28,33,119
54877,8,12,16,17,22,25,29,129
54955,2,6,16,20,21,29,35,129
55232,8,12,15,16,23,29,32,135
55262,5,7,11,18,19,27,28,115
55476,1,5,9,18,22,28,33,116
55552,1,7,18,20,21,27,31,125
56003,2,8,11,12,22,25,33,113
56226,2,4,18,19,25,28,29,125
56451,1,4,15,19,25,27,34,125
56982,5,7,11,19,22,24,34,122
56996,1,12,16,17,19,23,27,115
57051,2,8,9,13,22,31,32,117
57149,2,7,11,12,26,27,32,117
57291,5,7,11,19,22,29,32,125
57385,2,7,11,17,26,31,32,126
57451,9,12,17,18,21,30,32,139
57460,4,5,7,17,21,27,28,109
57491,7,14,15,20,21,24,29,130
57596,2,3,8,11,22,31,35,112
58140,3,8,16,20,22,23,27,119
58250,7,14,18,20,23,27,30,139
58313,5,8,11,20,22,25,29,120
58365,7,9,10,13,19,29,34,121
58799,1,6,17,18,27,29,33,131
58931,1,5,11,16,22,25,30,110
58945,2,7,8,11,19,25,35,107
58965,2,4,10,18,19,23,25,101
59048,2,6,9,18,21,24,33,113
59175,1,5,14,16,22,30,35,123
59210,2,10,11,19,23,24,25,114
59314,2,8,9,16,29,31,33,128
59479,1,7,11,13,22,26,27,107
59509,8,9,11,13,19,26,34,120
59604,1,5,15,16,22,23,28,110
59818,4,9,14,18,19,25,35,124
59845,1,12,16,20,26,27,33,135
60078,8,12,16,20,21,23,27,127
60107,1,14,18,24,27,29,33,146
60209,4,9,11,13,21,27,32,117
60295,3,5,9,19,22,24,35,117
60404,3,7,9,14,21,29,32,115
60466,1,6,14,16,22,31,35,125
60515,3,9,17,18,22,24,35,128
60986,7,9,14,20,26,27,31,134
61472,3,9,10,13,17,31,34,117
61544,5,8,16,20,25,28,31,133
62009,2,5,7,11,26,29,33,113
62176,5,6,9,12,19,25,29,105
62289,4,14,15,18,21,27,35,134
62442,4,9,16,17,22,26,31,125
62466,1,9,15,16,24,30,34,129
62566,3,12,16,18,19,24,27,119
62579,1,6,18,24,25,28,33,135
62718,1,7,9,19,24,28,33,121
62862,4,8,16,20,25,27,33,133
62948,4,8,9,16,23,29,30,119
63138,1,5,11,20,27,28,33,125
63201,6,14,15,16,25,29,31,136
63230,1,14,16,20,25,30,31,137
63255,4,12,15,18,19,29,30,127
63273,1,3,11,16,22,30,34,117
63520,1,9,16,20,24,30,33,133
63638,1,5,7,18,24,32,34,121
63644,2,3,8,11,23,27,35,109
63656,2,8,15,16,24,29,33,127
63670,7,8,9,17,23,24,27,115
64000,7,12,17,18,19,28,32,133
64126,1,5,10,13,22,27,33,111
64127,6,7,9,13,24,26,33,118
64653,3,8,9,20,21,29,33,123
65009,2,5,7,14,25,29,35,117
65058,2,7,14,24,25,27,31,130
65304,1,9,18,20,25,27,31,131
65384,2,5,11,13,21,25,32,109
65413,8,9,11,16,21,25,27,117
65526,3,7,9,12,21,29,32,113
65795,1,4,8,13,17,27,33,103
65871,1,12,16,19,22,25,35,130
66037,1,5,16,20,22,27,33,124
66073,4,8,16,19,26,27,33,133
66078,1,7,18,20,23,27,31,127
66124,4,10,14,16,21,27,35,127
66209,2,8,11,13,23,27,29,113
66228,9,10,14,20,23,24,27,127
66293,5,7,8,11,22,31,32,116
66877,1,7,17,18,19,28,32,122
67201,2,10,16,17,22,25,29,121
67323,3,8,15,16,22,27,31,122
67432,1,5,11,20,24,25,32,118
67583,1,7,11,14,22,31,35,121
67606,3,9,14,20,26,30,31,133
67820,3,9,16,17,21,24,32,122
67998,4,5,16,20,21,27,31,124
68147,3,8,16,20,21,27,34,129
68314,5,8,11,16,23,27,30,120
68461,1,7,14,18,29,30,35,134
68707,6,7,18,19,25,27,29,131
68726,6,10,17,18,27,29,33,140
68991,1,7,11,16,22,26,32,115
69050,1,9,16,20,25,26,33,130
69051,1,4,7,20,24,25,30,111
69152,7,14,16,20,25,26,29,137
69192,4,14,18,19,25,29,31,140
69206,5,7,11,20,26,27,32,128
69598,2,5,9,20,21,27,30,114
69671,7,10,17,20,21,24,27,126
69707,5,8,9,13,24,29,35,123
69832,4,14,18,19,25,26,31,137
69965,3,5,8,16,22,26,31,111
70131,8,9,11,13,19,26,32,118
70166,2,8,11,12,17,25,34,109
70325,1,7,9,12,22,29,33,113
70326,4,9,14,17,25,27,31,127
70361,1,7,18,19,24,27,31,127
70397,2,7,17,18,22,23,25,114
70438,4,14,17,18,21,23,31,128
70660,2,3,16,19,22,26,27,115
70758,5,7,11,16,25,26,27,117
70840,1,7,8,11,27,28,32,114
70954,1,14,15,16,21,24,25,116
71124,1,3,17,20,24,26,30,121
71140,2,7,11,12,19,25,31,107
71214,1,7,18,20,29,32,33,140
71445,4,10,17,18,19,23,29,120
71500,7,9,11,19,22,26,28,122
71504,5,8,16,20,23,27,29,128
71628,1,4,14,16,22,31,35,123
71783,1,5,8,11,22,30,35,112
71785,9,14,16,20,24,25,29,137
71890,1,8,17,20,21,26,34,127
71944,4,8,17,18,19,23,25,114
72271,2,9,16,19,23,29,30,128
72488,4,5,11,18,19,23,25,105
72598,1,9,16,17,23,27,32,125
72700,2,5,7,11,17,28,32,102
72707,2,4,8,12,23,29,35,113
72715,5,9,17,18,24,25,29,127
72857,1,5,11,14,22,24,25,102
73218,7,10,11,17,22,30,35,132
73308,2,5,16,17,23,27,35,125
73476,2,9,11,19,23,24,25,113
73483,9,10,16,17,21,27,32,132
73558,9,10,14,20,25,29,32,139
74016,4,10,17,18,22,25,33,129
74100,1,4,15,24,25,29,35,133
74137,5,7,9,11,24,26,33,115
74177,4,6,17,18,21,24,25,115
74228,3,4,7,19,27,30,33,123
74324,7,9,11,17,24,29,34,131
74403,1,7,9,14,22,25,29,107
74427,8,9,10,16,21,29,33,126
74534,4,9,10,17,21,27,35,123
74772,1,14,16,20,27,31,33,142
74840,7,10,14,17,23,27,33,131
74888,5,9,11,20,25,26,28,124
75007,9,12,14,17,25,27,31,135
75174,4,8,14,19,23,25,27,120
75261,1,9,14,20,25,29,34,132
75306,5,9,17,20,26,27,32,136
75321,1,10,15,16,19,27,29,117
75393,1,6,9,20,22,26,29,113
75437,1,7,18,19,22,25,30,122
75452,4,9,11,13,17,24,25,103
75579,2,8,16,19,29,30,33,137
75637,7,12,18,20,21,25,32,135
75771,1,7,9,11,21,28,32,109
75922,1,7,11,17,22,28,29,115
76059,1,3,9,20,24,25,31,113
76118,10,12,15,16,19,24,25,121
76186,7,9,10,19,25,29,34,133
76384,1,7,17,20,24,25,28,122
76708,3,9,14,18,22,23,33,122
76840,7,12,16,17,22,25,27,126
76978,3,4,9,18,25,26,30,115
76994,5,9,11,18,21,24,30,118
77035,4,7,15,16,22,26,31,121
77250,1,10,16,20,21,24,29,121
77312,9,10,14,20,25,27,30,135
77606,5,8,9,20,24,30,35,131
77709,1,4,9,20,23,26,27,110
77831,4,7,8,18,19,25,29,110
77939,2,6,11,19,22,25,29,114
78474,1,8,9,12,27,29,35,121
78537,5,9,18,19,23,24,35,133
78543,3,12,16,19,22,29,35,136
78590,6,9,11,20,21,25,31,123
78646,3,5,11,18,23,26,27,113
78832,2,8,15,16,25,29,32,127
79131,3,4,8,20,21,26,27,109
79237,4,7,10,11,26,27,30,115
79412,3,7,15,20,21,28,29,123
79563,2,7,8,12,17,25,31,102
79908,6,8,16,20,21,29,35,135
80253,9,14,15,18,23,24,30,133
80616,1,8,17,20,21,26,27,120
80909,2,3,16,17,25,31,35,129
81025,7,9,11,13,21,28,34,123
81125,2,8,9,13,27,29,34,122
81509,5,6,10,16,17,27,29,110
81613,8,9,16,19,23,25,29,129
81643,5,8,9,16,24,25,31,118
81710,5,14,15,19,24,25,33,135
81742,7,8,15,19,24,25,30,128
81818,1,3,9,13,22,31,32,111
81907,1,7,16,18,22,27,30,121
82050,2,7,10,11,17,25,32,104
82338,3,8,10,11,25,27,31,115
82402,5,8,10,16,24,27,31,121
82412,1,6,10,20,27,30,33,127
82415,7,14,17,24,26,27,30,145
82432,3,9,10,12,19,25,29,107
82602,4,7,14,18,19,25,33,120
82629,8,12,17,20,23,31,33,144
83246,2,4,8,16,21,23,27,101
83439,2,10,16,20,21,25,27,121
83557,1,10,16,20,24,27,33,131
83661,2,8,11,18,27,31,33,130
83663,1,5,17,20,26,27,28,124
83667,1,7,11,14,17,26,27,103
83866,9,14,17,20,24,27,31,142
83883,4,8,9,16,23,25,31,116
84541,1,9,16,20,22,30,31,129
84741,5,8,17,18,24,29,33,134
84789,4,9,11,13,17,29,34,117
84830,6,8,10,16,25,27,29,121
84870,1,4,7,19,27,28,31,117
85011,4,8,16,19,22,25,27,121
85046,2,8,11,12,19,25,31,108
85051,8,9,15,19,24,31,35,141
85285,4,12,14,20,25,29,33,137
85390,5,9,16,19,22,27,29,127
85417,5,6,9,20,26,31,33,130
85558,7,8,9,13,19,28,29,113
85684,3,6,8,20,23,26,27,113
85878,1,3,18,24,25,28,33,132
86006,4,6,8,19,25,27,35,124
86060,2,7,11,16,17,28,34,115
86117,5,10,16,19,22,23,31,126
86302,9,14,15,24,25,28,32,147
86649,3,9,14,24,25,30,34,139
86654,4,6,8,13,19,25,27,102
86785,1,8,11,16,17,27,31,111
87172,7,9,15,24,26,30,32,143
87392,3,7,9,14,29,32,35,129
87525,7,8,15,18,22,23,28,121
88034,2,5,8,13,29,31,33,121
88068,2,7,8,13,17,24,33,104
88092,2,9,10,16,17,27,31,112
88302,6,7,9,17,23,24,28,114
88683,3,4,8,16,19,27,33,110
88927,7,14,15,20,25,29,31,141
89139,2,7,9,14,23,29,33,117
89334,5,9,10,20,26,27,31,128
89346,6,14,16,17,23,27,32,135
89417,2,10,11,14,29,32,35,133
89426,2,7,8,13,25,29,34,118
89832,9,10,16,18,26,29,33,141
89833,8,14,15,18,29,31,33,148
89865,4,8,17,18,27,29,35,138
89915,4,12,14,16,21,27,31,125
90052,1,7,11,19,22,26,34,120
90276,3,7,15,17,26,29,32,129
90286,1,3,7,19,22,26,32,110
90413,7,9,15,19,29,30,34,143
90914,7,8,9,24,27,30,34,139
91111,4,8,9,13,27,28,33,122
91223,5,9,16,17,24,26,32,129
91542,4,5,9,14,25,29,31,117
91566,4,8,15,19,25,31,32,134
91717,3,7,10,18,21,29,35,123
91914,8,9,14,18,29,30,35,143
92018,2,4,8,11,22,25,33,105
92529,3,5,7,18,22,26,32,113
92561,2,4,17,18,25,31,35,132
92652,4,14,15,18,25,31,32,139
92696,7,9,11,20,24,26,33,130
92841,3,10,14,20,25,26,31,129
92946,5,9,16,19,24,25,34,132
93156,1,4,7,19,23,27,28,109
93245,8,9,17,18,21,24,34,131
93256,6,9,14,20,21,24,29,123
93351,6,7,17,20,22,26,27,125
93463,1,5,14,20,23,27,33,123
93578,2,7,11,16,17,24,25,102
93715,2,4,11,14,21,25,27,104
93771,7,9,14,16,23,29,33,131
94072,1,3,7,20,21,24,29,105
94112,1,5,16,18,22,23,32,117
94400,5,9,10,11,26,31,35,127
94558,5,6,17,18,27,31,33,137
94597,7,8,18,20,24,27,31,135
94725,9,14,15,18,25,27,29,137
94796,7,9,11,13,26,28,31,125
94820,1,5,11,18,19,24,29,107
95165,1,7,9,20,21,24,32,114
95225,5,8,9,11,24,26,35,118
95250,4,7,10,19,22,26,29,117
95293,9,14,17,20,24,28,35,147
95375,8,10,18,20,23,29,33,141
95593,5,9,16,17,22,24,30,123
96273,5,10,11,19,22,23,35,125
96278,5,6,15,24,25,26,30,131
96288,5,7,18,20,21,24,25,120
96305,8,10,16,24,27,31,33,149
96323,3,7,9,18,21,24,34,116
96865,3,7,14,20,22,25,29,120
96885,1,6,10,20,26,27,29,119
97107,2,4,8,19,25,27,34,119
97410,5,9,14,17,19,24,25,113
97455,5,14,16,20,21,27,29,132
97565,8,9,11,12,17,25,27,109
97753,4,5,9,12,25,26,31,112
97821,8,9,11,13,21,24,30,116
97906,3,7,14,20,22,26,27,119
97992,2,9,18,19,24,25,28,125
98009,6,7,9,11,17,27,32,109
98051,2,8,11,24,25,28,33,131
98095,3,4,7,14,21,26,27,102
98214,3,6,7,11,17,27,32,103
98259,3,7,8,18,24,25,32,117
98286,5,7,14,20,24,29,33,132
98358,4,14,17,18,26,27,33,139
98865,2,3,8,11,25,28,29,106
99123,1,5,10,20,23,26,29,114
99162,4,5,9,11,25,26,32,112
99324,1,9,15,20,22,26,27,120
99418,5,9,17,20,22,28,29,130
99420,2,9,16,19,25,29,33,133
99441,9,10,11,14,21,25,27,117
99456,9,12,15,16,17,29,31,129
99555,5,9,11,16,21,32,34,128
99721,3,7,9,19,22,26,27,113
99773,1,9,16,18,22,23,27,116
99819,3,12,16,19,25,27,29,131
99832,2,10,11,19,23,25,31,121
99842,4,7,8,24,27,29,33,132
99974,4,6,15,19,25,31,32,132
100118,6,9,14,20,24,27,35,135
100136,9,14,15,20,24,29,33,144
100138,9,12,15,16,19,24,33,128
100141,1,9,11,18,22,23,28,112
100149,2,6,7,12,17,31,33,108
100159,5,7,11,17,22,28,34,124
100208,2,6,11,14,21,29,35,118
100236,2,9,18,20,21,25,27,122
